Species,Dimorphism,Lifestyle
Chrysosphaeria_jan_nelii,2,0
Intubia_macrotermitinarum,2,0
Intubia_oerlemansii,2,0
Ophiostoma_pulvinisporum,1,0
Ophiostoma_pseudobicolor,1,0
Ophiostoma_fuscum,1,0
Ophiostoma_longiconidiatum,1,0
Ophiostoma_subannulatum,1,1
Ophiostoma_carpenteri,2,3
Ophiostoma_palustre,2,0
Ophiostoma_sparsiannulatum,2,0
Ophiostoma_novae_zelandiae,1,0
Ophiostoma_floccosum,2,0
Ophiostoma_shanziensis,1,0
Ophiostoma_japonicum,1,0
Ophiostoma_brevipilosi,1,0
Ophiostoma_tapionis,1,0
Ophiostoma_jiamusiensis,1,0
Ophiostoma_macroclavatum,1,0
Ophiostoma_peniculi,1,0
Ophiostoma_pseudocatenulatum,1,3
Ophiostoma_hongxingense,1,0
Ophiostoma_subelongati,1,0
Ophiostoma_kunlunense,1,0
Ophiostoma_rachisporum,1,0
Ophiostoma_taphrorychi,2,0
Ophiostoma_wuyingense,1,0
Ophiostoma_cupulatum,2,0
Ophiostoma_setosum,1,0
Ophiostoma_typographi,1,0
Ophiostoma_multisynnematum,1,0
Ophiostoma_genhense,1,0
Ophiostoma_sugadairense,1,0
Ophiostoma_xinganense,1,0
Ophiostoma_rufum,2,0
Ophiostoma_patagonicum,2,0
Ophiostoma_himal_ulmi,2,1
Ophiostoma_pseudokarelicum,2,0
Ophiostoma_karelicum,1,1
Ophiostoma_ulmi,2,1
Ophiostoma_novo_ulmi_subsp_novo_ulmi,2,1
Ophiostoma_novo_ulmi_subsp_americana,2,1
Ophiostoma_signatum,1,3
Ophiostoma_borealis,1,0
Ophiostoma_villosum,2,0
Ophiostoma_tsotsi,1,0
Ophiostoma_australiae,1,0
Ophiostoma_tasmaniense,1,0
Ophiostoma_quercus,2,0
Ophiostoma_denticiliatum,1,0
Ophiostoma_sejunctum,2,0
Masuyamyces_acarorum,1,0
Masuyamyces_pallidulus,1,0
Masuyamyces_saponiodorus,1,0
Masuyamyces_lotiformis,1,0
Sporothrix_brunneoviolacea,1,0
Sporothrix_zhejiangensis,1,0
Sporothrix_smangaliso,1,0
Sporothrix_schenckii,2,1
Sporothrix_cavum,1,0
Sporothrix_chilensis,2,1
Sporothrix_protea_sedis,1,0
Sporothrix_humicola,2,0
Sporothrix_albicans,2,1
Sporothrix_cabralii,2,0
Sporothrix_itsvo,1,0
Sporothrix_rapaneae,1,0
Sporothrix_aemulophila,1,2
Sporothrix_oleae,1,0
Sporothrix_phasma,1,0
Sporothrix_undulata,1,0
Sporothrix_cryptarchum,1,0
Sporothrix_resoviensis,1,0
Sporothrix_nsini,1,0
Sporothrix_zambiensis,1,0
Sporothrix_protearum,1,0
Sporothrix_uta,1,0
Sporothrix_fraxini,1,0
Sporothrix_villosa,1,0
Sporothrix_cracoviensis,1,3
Sporothrix_aurorae,1,0
Sporothrix_fusiformis,1,0
Hawksworthiomyces_crousii,1,0
Ceratocystiopsis_longispora,1,0
Ceratocystiopsis_synnemata,1,0
Ceratocystiopsis_neglecta,1,0
Ceratocystiopsis_yantaiensis,1,0
Ceratocystiopsis_ranaculosa,1,1
Ceratocystiopsis_brevicomis,1,0
Ceratocystiopsis_weihaiensis,1,0
Ceratocystiopsis_minuta,1,0
Ceratocystiopsis_parva,1,1
Ceratocystiopsis_minima,1,0
Graphilbum_interstitiale,1,0
Graphilbum_ipis_grandicollis,1,0
Graphilbum_furuicola,1,0
Graphilbum_sexdentatum,1,0
Graphilbum_niveum,1,0
Graphilbum_crescericum,1,0
Graphilbum_microcarpum,1,0
Graphilbum_roseum,1,0
Graphilbum_acuminatum,1,0
Graphilbum_translucens,1,0
Graphilbum_puerense,1,0
Graphilbum_carpaticum,1,0
Graphilbum_curvidentis,1,0
Graphilbum_gorcense,1,0
Graphilbum_tsugae,1,0
Aureovirgo_volantis,1,1
Ceratocystiopsis_lunata,2,2
Raffaelea_scolytodis,2,2
Raffaelea_xyleborini,2,2
Raffaelea_ambrosiae,2,2
Raffaelea_arxii,2,2
Raffaelea_rapaneae,1,2
Raffaelea_cyclorhipidia,2,2
Raffaelea_canadensis,2,2
Raffaelea_promiscua,2,2
Raffaelea_albimanens,2,2
Raffaelea_subalba,2,2
Raffaelea_crossotarsa,2,2
Raffaelea_borbonica,2,1
Harringtonia_lauricola,2,2
Harringtonia_aguacate,2,0
Grosmannia_taigensis,1,0
Grosmannia_pruni,1,0
Grosmannia_betulae,1,0
Grosmannia_gestamen,1,0
Grosmannia_eucalyptophila,1,1
Grosmannia_pistaciae,1,0
Grosmannia_abieticolens,1,0
Grosmannia_curvispora,1,1
Grosmannia_abietina,1,1
